group,feature,label,n,auc,dir,mi,d
Geometric,in_conflict_zone,rule_close_conflict,1372369,0.6046964414975846,-,0.0018272973602226905,-0.4234027226936624
Geometric,in_conflict_zone,rule_any,1372369,0.5951051126487105,-,0.0064761904472643295,-0.385194569595947
Geometric,time_in_zone_running_s,rule_hard_brake,1372369,0.6513695783383027,-,0.006204902472010998,-0.3191636483548227
Geometric,time_in_zone_running_s,rule_anomalous_stop,1372369,0.9718149830537721,+,0.004015547298920841,2.8220073182952747
Geometric,time_in_zone_running_s,rule_path_deviation,1372369,0.5828977141012093,+,0.0019445738975928384,0.4218710164417351
Geometric,time_in_zone_running_s,rule_close_conflict,1372369,0.7311986417227231,-,0.0004691594068594318,-0.6319245629776024
Geometric,time_in_zone_running_s,rule_any,1372369,0.5566800851277135,-,0.007959756111041383,0.0642740419074732
Geometric,time_in_zone_total_s,rule_hard_brake,1372369,0.5469303969842314,-,0.0028796209040635734,-0.1869346258134666
Geometric,time_in_zone_total_s,rule_anomalous_stop,1372369,0.9713981472261164,+,0.0036830685136109986,2.8822225793239813
Geometric,time_in_zone_total_s,rule_path_deviation,1372369,0.5323540769765716,+,0.00188815771958728,0.09133812515885782
Geometric,time_in_zone_total_s,rule_close_conflict,1372369,0.5837302470457102,-,0.00027168730276272424,-0.31192647897395753
Geometric,time_in_zone_total_s,rule_any,1372369,0.5073210356919255,+,0.002456711887226515,0.09152735598793886
Window (1s),Speed_ms_mean_1s,rule_hard_brake,1372369,0.5426762984189419,+,0.0025087396881080526,0.1649837053776205
Window (1s),Speed_ms_mean_1s,rule_anomalous_stop,1372369,0.9853891602845981,-,0.005088595279076569,-1.962097033038377
Window (1s),Speed_ms_mean_1s,rule_path_deviation,1372369,0.582992990476908,-,0.001355726701331883,-0.2896886902802765
Window (1s),Speed_ms_mean_1s,rule_close_conflict,1372369,0.5423893755357108,-,0.0003490421794802856,-0.14840265149573512
Window (1s),Speed_ms_mean_1s,rule_any,1372369,0.5230081799898831,-,0.003996132489193727,-0.08755469183678263
Window (1s),Speed_ms_std_1s,rule_hard_brake,1291231,0.9122306975345551,+,0.02909938640153964,1.392682282854753
Window (1s),Speed_ms_std_1s,rule_anomalous_stop,1291231,0.8039396201822889,-,0.0011035630311687639,-0.6285263569713296
Window (1s),Speed_ms_std_1s,rule_path_deviation,1291231,0.5289464764888858,+,0.0009052228532838713,0.14940440758333673
Window (1s),Speed_ms_std_1s,rule_close_conflict,1291231,0.8961944942052791,+,0.002882058545560562,1.0931085312096946
Window (1s),Speed_ms_std_1s,rule_any,1291231,0.7847245511560458,+,0.020811337953594577,0.994568686920551
